State,County,Year,Max AQI,Median AQI,Region,Median_By_State
Alaska,Anchorage ,2019,136,27,1,26
Alaska,Bethel ,2019,62,10,1,26
Alaska,Denali ,2019,54,38,1,26
Alaska,Fairbanks North Star ,2019,172,39,1,26
Alaska,Juneau ,2019,79,25,1,26
Alaska,Matanuska-Susitna ,2019,116,18,1,26
California,Alameda,2019,150,40,1,40
California,Amador,2019,54,36,1,40
California,Butte,2019,102,40,1,40
California,Calaveras,2019,78,37,1,40
California,Colusa,2019,81,34,1,40
California,Contra Costa,2019,194,41,1,40
California,Del Norte,2019,45,29,1,40
California,El Dorado,2019,84,38,1,40
California,Fresno,2019,140,51,1,40
California,Glenn,2019,71,40,1,40
California,Humboldt,2019,64,30,1,40
California,Imperial,2019,185,48,1,40
California,Inyo,2019,247,48,1,40
California,Kern,2019,166,44,1,40
California,Kings,2019,130,49,1,40
California,Lake,2019,33,8,1,40
California,Los Angeles,2019,200,58,1,40
California,Madera,2019,42,29,1,40
California,Marin,2019,133,34,1,40
California,Mariposa,2019,100,46,1,40
California,Mendocino,2019,75,35,1,40
California,Merced,2019,116,30,1,40
California,Mono,2019,3852,28,1,40
California,Monterey,2019,144,36,1,40
California,Napa,2019,119,35,1,40
California,Nevada,2019,122,45,1,40
California,Orange,2019,122,44,1,40
California,Placer,2019,129,47,1,40
California,Plumas,2019,138,22,1,40
California,Riverside,2019,185,73,1,40
California,Sacramento,2019,122,40,1,40
California,San Benito,2019,90,38,1,40
California,San Bernardino,2019,192,70,1,40
California,San Diego,2019,101,52,1,40
California,San Francisco,2019,108,36,1,40
California,San Joaquin,2019,137,36,1,40
California,San Luis Obispo,2019,87,44,1,40
California,San Mateo,2019,122,36,1,40
California,Santa Barbara,2019,93,42,1,40
California,Santa Clara,2019,136,41,1,40
California,Santa Cruz,2019,70,35,1,40
California,Shasta,2019,77,43,1,40
California,Siskiyou,2019,77,38,1,40
California,Solano,2019,119,39,1,40
California,Sonoma,2019,154,35,1,40
California,Stanislaus,2019,120,38,1,40
California,Sutter,2019,110,37,1,40
California,Tehama,2019,80,37,1,40
California,Trinity,2019,113,15,1,40
California,Tulare,2019,150,56,1,40
California,Tuolumne,2019,71,39,1,40
California,Ventura,2019,112,45,1,40
California,Yolo,2019,90,40,1,40
Colorado,Adams,2019,132,47,1,38
Colorado,Arapahoe,2019,140,50,1,38
Colorado,Archuleta,2019,394,23,1,38
Colorado,Boulder,2019,119,49,1,38
Colorado,Clear Creek,2019,112,48,1,38
Colorado,Delta,2019,67,39,1,38
Colorado,Denver,2019,153,51,1,38
Colorado,Douglas,2019,154,49,1,38
Colorado,El Paso,2019,100,48,1,38
Colorado,Fremont,2019,29,11,1,38
Colorado,Garfield,2019,74,43,1,38
Colorado,Gilpin,2019,115,50,1,38
Colorado,Gunnison,2019,101,48,1,38
Colorado,Jefferson,2019,129,49,1,38
Colorado,La Plata,2019,87,46,1,38
Colorado,Larimer,2019,129,51,1,38
Colorado,Mesa,2019,87,46,1,38
Colorado,Montezuma,2019,97,47,1,38
Colorado,Pitkin,2019,24,8,1,38
Colorado,Prowers,2019,76,12,1,38
Colorado,Pueblo,2019,35,19,1,38
Colorado,Rio Blanco,2019,100,46,1,38
Colorado,Routt,2019,60,12,1,38
Colorado,San Miguel,2019,54,9,1,38
Colorado,Weld,2019,125,45,1,38
Hawaii,Hawaii,2019,74,18,1,20
Hawaii,Honolulu,2019,90,34,1,20
Hawaii,Kauai,2019,71,14,1,20
Hawaii,Maui,2019,53,14,1,20
Idaho,Ada,2019,77,37,1,22
Idaho,Bannock,2019,59,24,1,22
Idaho,Benewah,2019,152,38,1,22
Idaho,Blaine,2019,41,14,1,22
Idaho,Boise,2019,88,30,1,22
Idaho,Bonner,2019,62,14,1,22
Idaho,Bonneville,2019,57,30,1,22
Idaho,Butte,2019,71,43,1,22
Idaho,Canyon,2019,55,20,1,22
Idaho,Caribou,2019,108,4,1,22
Idaho,Franklin,2019,107,14,1,22
Idaho,Idaho,2019,73,38,1,22
Idaho,Jerome,2019,48,15,1,22
Idaho,Kootenai,2019,75,21,1,22
Idaho,Latah,2019,37,8,1,22
Idaho,Lemhi,2019,133,18,1,22
Idaho,Nez Perce,2019,85,18,1,22
Idaho,Shoshone,2019,99,27,1,22
Idaho,Twin Falls,2019,56,17,1,22
Idaho,Valley,2019,91,15,1,22
Montana,Cascade,2019,106,20,1,31
Montana,Fergus,2019,84,40,1,31
Montana,Flathead,2019,103,38,1,31
Montana,Gallatin,2019,91,20,1,31
Montana,Lewis and Clark,2019,144,43,1,31
Montana,Lincoln,2019,95,36,1,31
Montana,Missoula,2019,222,40,1,31
Montana,Phillips,2019,71,39,1,31
Montana,Powder River,2019,80,40,1,31
Montana,Ravalli,2019,74,13,1,31
Montana,Richland,2019,93,41,1,31
Montana,Rosebud,2019,71,38,1,31
Montana,Sanders,2019,60,25,1,31
Montana,Silver Bow,2019,91,19,1,31
Montana,Yellowstone,2019,67,15,1,31
Nevada,Carson City,2019,97,45,1,33
Nevada,Churchill,2019,80,42,1,33
Nevada,Clark,2019,122,52,1,33
Nevada,Douglas,2019,62,10,1,33
Nevada,Elko,2019,61,9,1,33
Nevada,Lyon,2019,71,39,1,33
Nevada,Nye,2019,75,11,1,33
Nevada,Washoe,2019,97,47,1,33
Nevada,White Pine,2019,101,46,1,33
Oregon,Baker,2019,60,26,1,30
Oregon,Benton,2019,60,20,1,30
Oregon,Clackamas,2019,90,36,1,30
Oregon,Columbia,2019,84,29,1,30
Oregon,Coos,2019,58,19,1,30
Oregon,Crook,2019,85,17,1,30
Oregon,Deschutes,2019,56,20,1,30
Oregon,Grant,2019,103,47,1,30
Oregon,Harney,2019,131,40,1,30
Oregon,Jackson,2019,105,35,1,30
Oregon,Jefferson,2019,81,33,1,30
Oregon,Josephine,2019,88,36,1,30
Oregon,Klamath,2019,92,33,1,30
Oregon,Lake,2019,106,20,1,30
Oregon,Lane,2019,117,37,1,30
Oregon,Linn,2019,95,26,1,30
Oregon,Marion,2019,74,33,1,30
Oregon,Multnomah,2019,84,32,1,30
Oregon,Umatilla,2019,80,38,1,30
Oregon,Union,2019,56,24,1,30
Oregon,Wallowa,2019,83,30,1,30
Oregon,Washington,2019,87,31,1,30
Utah,Box Elder,2019,121,43,1,46
Utah,Cache,2019,137,46,1,46
Utah,Carbon,2019,108,47,1,46
Utah,Davis,2019,119,46,1,46
Utah,Duchesne,2019,177,49,1,46
Utah,Garfield,2019,80,44,1,46
Utah,Iron,2019,84,43,1,46
Utah,Salt Lake,2019,132,51,1,46
Utah,San Juan,2019,93,46,1,46
Utah,Tooele,2019,105,44,1,46
Utah,Uintah,2019,205,50,1,46
Utah,Utah,2019,97,47,1,46
Utah,Washington,2019,93,46,1,46
Utah,Weber,2019,108,44,1,46
Washington,Adams,2019,69,12,1,24
Washington,Asotin,2019,72,25,1,24
Washington,Benton,2019,80,37,1,24
Washington,Chelan,2019,76,20,1,24
Washington,Clallam,2019,70,37,1,24
Washington,Clark,2019,128,29,1,24
Washington,Columbia,2019,55,15,1,24
Washington,Cowlitz,2019,76,13,1,24
Washington,Franklin,2019,56,15,1,24
Washington,Garfield,2019,49,15,1,24
Washington,Grant,2019,62,18,1,24
Washington,Grays Harbor,2019,40,18,1,24
Washington,Jefferson,2019,51,18,1,24
Washington,King,2019,90,39,1,24
Washington,Kitsap,2019,75,15,1,24
Washington,Kittitas,2019,71,21,1,24
Washington,Klickitat,2019,64,18,1,24
Washington,Lewis,2019,62,18,1,24
Washington,Mason,2019,70,20,1,24
Washington,Okanogan,2019,87,26,1,24
Washington,Pierce,2019,142,42,1,24
Washington,San Juan,2019,39,16,1,24
Washington,Skagit,2019,53,23,1,24
Washington,Snohomish,2019,114,27,1,24
Washington,Spokane,2019,87,36,1,24
Washington,Stevens,2019,100,25,1,24
Washington,Thurston,2019,71,29,1,24
Washington,Walla Walla,2019,63,21,1,24
Washington,Whatcom,2019,122,35,1,24
Washington,Whitman,2019,53,17,1,24
Washington,Yakima,2019,114,35,1,24
Wyoming,Albany,2019,90,49,1,39
Wyoming,Big Horn,2019,77,39,1,39
Wyoming,Campbell,2019,79,39,1,39
Wyoming,Carbon,2019,112,45,1,39
Wyoming,Converse,2019,97,37,1,39
Wyoming,Fremont,2019,122,47,1,39
Wyoming,Johnson,2019,80,41,1,39
Wyoming,Laramie,2019,74,43,1,39
Wyoming,Lincoln,2019,56,10,1,39
Wyoming,Natrona,2019,74,44,1,39
Wyoming,Park,2019,77,38,1,39
Wyoming,Platte,2019,108,11,1,39
Wyoming,Sheridan,2019,90,42,1,39
Wyoming,Sublette,2019,200,49,1,39
Wyoming,Sweetwater,2019,133,43,1,39
Wyoming,Teton,2019,87,44,1,39
Wyoming,Uinta,2019,101,44,1,39
Wyoming,Weston,2019,71,42,1,39
Arizona,Apache,2019,39,11,2,44
Arizona,Cochise,2019,97,47,2,44
Arizona,Coconino,2019,80,46,2,44
Arizona,Gila,2019,187,67,2,44
Arizona,La Paz,2019,77,45,2,44
Arizona,Maricopa,2019,147,62,2,44
Arizona,Mohave,2019,69,15,2,44
Arizona,Navajo,2019,112,45,2,44
Arizona,Pima,2019,103,49,2,44
Arizona,Pinal,2019,886,60,2,44
Arizona,Santa Cruz,2019,120,29,2,44
Arizona,Yavapai,2019,87,44,2,44
Arizona,Yuma,2019,110,46,2,44
New Mexico,Bernalillo,2019,108,54,2,43
New Mexico,Dona Ana,2019,630,54,2,43
New Mexico,Eddy,2019,174,50,2,43
New Mexico,Lea,2019,140,47,2,43
New Mexico,Luna,2019,617,14,2,43
New Mexico,Rio Arriba,2019,90,45,2,43
New Mexico,San Juan,2019,97,49,2,43
New Mexico,Sandoval,2019,93,47,2,43
New Mexico,Santa Fe,2019,101,47,2,43
New Mexico,Taos,2019,70,18,2,43
New Mexico,Valencia,2019,93,46,2,43
Oklahoma,Adair,2019,86,40,2,36
Oklahoma,Canadian,2019,105,40,2,36
Oklahoma,Carter,2019,97,44,2,36
Oklahoma,Choctaw,2019,90,39,2,36
Oklahoma,Cleveland,2019,90,47,2,36
Oklahoma,Comanche,2019,97,44,2,36
Oklahoma,Creek,2019,101,38,2,36
Oklahoma,Custer,2019,58,14,2,36
Oklahoma,Dewey,2019,93,44,2,36
Oklahoma,Garfield,2019,74,0,2,36
Oklahoma,Johnston,2019,67,42,2,36
Oklahoma,Kay,2019,106,40,2,36
Oklahoma,Le Flore,2019,79,28,2,36
Oklahoma,Mayes,2019,100,13,2,36
Oklahoma,Muskogee,2019,169,12,2,36
