State,County,Year,Max AQI,Median AQI,Region,Median_By_State
Alaska,Aleutians East ,2010,34,8,1,20
Alaska,Anchorage ,2010,127,32,1,20
Alaska,Denali ,2010,49,33,1,20
Alaska,Fairbanks North Star ,2010,172,36,1,20
Alaska,Juneau ,2010,112,26,1,20
Alaska,Kenai Peninsula ,2010,17,5,1,20
Alaska,Matanuska-Susitna ,2010,118,13,1,20
Alaska,Yukon-Koyukuk ,2010,79,5,1,20
California,Alameda,2010,179,43,1,45
California,Amador,2010,151,35,1,45
California,Butte,2010,126,47,1,45
California,Calaveras,2010,154,41,1,45
California,Colusa,2010,119,38,1,45
California,Contra Costa,2010,154,39,1,45
California,Del Norte,2010,52,12,1,45
California,El Dorado,2010,192,42,1,45
California,Fresno,2010,209,70,1,45
California,Glenn,2010,91,42,1,45
California,Humboldt,2010,71,30,1,45
California,Imperial,2010,140,53,1,45
California,Inyo,2010,4466,44,1,45
California,Kern,2010,202,79,1,45
California,Kings,2010,208,70,1,45
California,Lake,2010,74,35,1,45
California,Los Angeles,2010,200,76,1,45
California,Madera,2010,201,46,1,45
California,Marin,2010,128,38,1,45
California,Mariposa,2010,187,49,1,45
California,Mendocino,2010,72,34,1,45
California,Merced,2010,177,55,1,45
California,Mono,2010,4240,18,1,45
California,Monterey,2010,100,36,1,45
California,Napa,2010,159,39,1,45
California,Nevada,2010,154,44,1,45
California,Orange,2010,177,56,1,45
California,Placer,2010,200,50,1,45
California,Plumas,2010,110,33,1,45
California,Riverside,2010,217,87,1,45
California,Sacramento,2010,207,49,1,45
California,San Benito,2010,126,40,1,45
California,San Bernardino,2010,219,81,1,45
California,San Diego,2010,181,61,1,45
California,San Francisco,2010,125,40,1,45
California,San Joaquin,2010,174,45,1,45
California,San Luis Obispo,2010,161,51,1,45
California,San Mateo,2010,122,36,1,45
California,Santa Barbara,2010,143,44,1,45
California,Santa Clara,2010,164,42,1,45
California,Santa Cruz,2010,95,34,1,45
California,Shasta,2010,119,43,1,45
California,Siskiyou,2010,90,33,1,45
California,Solano,2010,136,39,1,45
California,Sonoma,2010,93,32,1,45
California,Stanislaus,2010,177,53,1,45
California,Sutter,2010,170,44,1,45
California,Tehama,2010,136,50,1,45
California,Trinity,2010,35,10,1,45
California,Tulare,2010,197,69,1,45
California,Tuolumne,2010,147,41,1,45
California,Ventura,2010,161,47,1,45
California,Yolo,2010,109,38,1,45
Colorado,Adams,2010,93,43,1,37
Colorado,Alamosa,2010,166,20,1,37
Colorado,Arapahoe,2010,122,47,1,37
Colorado,Archuleta,2010,198,17,1,37
Colorado,Boulder,2010,143,45,1,37
Colorado,Chaffee,2010,101,50,1,37
Colorado,Clear Creek,2010,161,74,1,37
Colorado,Delta,2010,86,19,1,37
Colorado,Denver,2010,108,49,1,37
Colorado,Douglas,2010,136,45,1,37
Colorado,El Paso,2010,151,45,1,37
Colorado,Elbert,2010,54,17,1,37
Colorado,Fremont,2010,29,14,1,37
Colorado,Garfield,2010,150,51,1,37
Colorado,Gunnison,2010,129,42,1,37
Colorado,Jackson,2010,35,7,1,37
Colorado,Jefferson,2010,143,46,1,37
Colorado,La Plata,2010,183,48,1,37
Colorado,Larimer,2010,140,51,1,37
Colorado,Mesa,2010,120,47,1,37
Colorado,Montezuma,2010,122,46,1,37
Colorado,Park,2010,133,51,1,37
Colorado,Pitkin,2010,164,49,1,37
Colorado,Prowers,2010,91,24,1,37
Colorado,Pueblo,2010,66,24,1,37
Colorado,Rio Blanco,2010,108,45,1,37
Colorado,Routt,2010,73,16,1,37
Colorado,San Juan,2010,84,8,1,37
Colorado,San Miguel,2010,200,19,1,37
Colorado,Summit,2010,63,12,1,37
Colorado,Teller,2010,105,51,1,37
Colorado,Weld,2010,126,46,1,37
Hawaii,Hawaii,2010,532,200,1,85
Hawaii,Honolulu,2010,154,38,1,85
Hawaii,Maui,2010,75,18,1,85
Idaho,Ada,2010,136,49,1,27
Idaho,Bannock,2010,144,29,1,27
