State,County,Year,Max AQI,Median AQI,Region,Median_By_State
Alaska,Anchorage ,2000,95,28,1,23
Alaska,Denali ,2000,106,28,1,23
Alaska,Fairbanks North Star ,2000,169,32,1,23
Alaska,Juneau ,2000,107,18,1,23
Alaska,Ketchikan Gateway ,2000,93,13,1,23
Alaska,Matanuska-Susitna ,2000,115,17,1,23
California,Alameda,2000,209,39,1,48
California,Amador,2000,192,44,1,48
California,Butte,2000,174,44,1,48
California,Calaveras,2000,200,38,1,48
California,Colusa,2000,105,36,1,48
California,Contra Costa,2000,172,43,1,48
California,Del Norte,2000,53,14,1,48
California,El Dorado,2000,208,50,1,48
California,Fresno,2000,227,112,1,48
California,Glenn,2000,126,40,1,48
California,Humboldt,2000,76,28,1,48
California,Imperial,2000,208,59,1,48
California,Inyo,2000,10736,50,1,48
California,Kern,2000,213,111,1,48
California,Kings,2000,205,70,1,48
California,Lake,2000,108,34,1,48
California,Lassen,2000,63,28,1,48
California,Los Angeles,2000,243,99,1,48
California,Madera,2000,177,45,1,48
California,Marin,2000,61,28,1,48
California,Mariposa,2000,187,48,1,48
California,Mendocino,2000,72,30,1,48
California,Merced,2000,207,58,1,48
California,Modoc,2000,107,25,1,48
California,Mono,2000,10362,11,1,48
California,Monterey,2000,129,36,1,48
California,Napa,2000,77,31,1,48
California,Nevada,2000,208,57,1,48
California,Orange,2000,205,62,1,48
California,Placer,2000,202,46,1,48
California,Plumas,2000,127,41,1,48
California,Riverside,2000,222,104,1,48
California,Sacramento,2000,203,55,1,48
California,San Benito,2000,147,40,1,48
California,San Bernardino,2000,246,95,1,48
California,San Diego,2000,201,74,1,48
California,San Francisco,2000,132,36,1,48
California,San Joaquin,2000,172,44,1,48
California,San Luis Obispo,2000,143,51,1,48
California,San Mateo,2000,129,33,1,48
California,Santa Barbara,2000,154,48,1,48
California,Santa Clara,2000,190,44,1,48
California,Santa Cruz,2000,126,36,1,48
California,Shasta,2000,154,44,1,48
California,Sierra,2000,36,17,1,48
California,Siskiyou,2000,101,36,1,48
California,Solano,2000,153,37,1,48
California,Sonoma,2000,122,37,1,48
California,Stanislaus,2000,202,49,1,48
California,Sutter,2000,166,43,1,48
California,Tehama,2000,156,40,1,48
California,Trinity,2000,46,13,1,48
California,Tulare,2000,203,85,1,48
California,Tuolumne,2000,197,49,1,48
California,Ventura,2000,203,59,1,48
California,Yolo,2000,159,40,1,48
Colorado,Adams,2000,114,49,1,30
Colorado,Alamosa,2000,142,19,1,30
Colorado,Arapahoe,2000,151,43,1,30
Colorado,Archuleta,2000,106,23,1,30
Colorado,Boulder,2000,126,42,1,30
