State,County,Year,Max AQI,Median AQI,Region,Median_By_State
Alaska,Anchorage ,1980,280,44,1,35
Alaska,Fairbanks North Star ,1980,210,33,1,35
Alaska,North Slope ,1980,42,28,1,35
Alaska,Valdez-Cordova ,1980,124,36,1,35
California,Alameda,1980,232,40,1,55
California,Butte,1980,126,38,1,55
California,Colusa,1980,67,16,1,55
California,Contra Costa,1980,219,47,1,55
California,El Dorado,1980,153,50,1,55
California,Fresno,1980,238,90,1,55
California,Glenn,1980,156,37,1,55
California,Imperial,1980,208,48,1,55
California,Inyo,1980,101,37,1,55
California,Kern,1980,230,93,1,55
California,Kings,1980,169,37,1,55
California,Lake,1980,115,34,1,55
California,Los Angeles,1980,386,168,1,55
California,Marin,1980,115,38,1,55
California,Mendocino,1980,67,28,1,55
California,Mono,1980,91,24,1,55
California,Monterey,1980,203,37,1,55
California,Napa,1980,156,38,1,55
California,Orange,1980,277,100,1,55
California,Placer,1980,218,44,1,55
California,Riverside,1980,300,114,1,55
California,Sacramento,1980,228,54,1,55
California,San Benito,1980,213,34,1,55
California,San Bernardino,1980,336,126,1,55
California,San Diego,1980,272,110,1,55
California,San Francisco,1980,127,38,1,55
California,San Joaquin,1980,219,47,1,55
California,San Luis Obispo,1980,154,47,1,55
California,San Mateo,1980,192,31,1,55
California,Santa Barbara,1980,213,61,1,55
California,Santa Clara,1980,247,43,1,55
California,Santa Cruz,1980,156,38,1,55
California,Shasta,1980,179,40,1,55
California,Solano,1980,205,38,1,55
California,Sonoma,1980,174,38,1,55
California,Stanislaus,1980,202,51,1,55
California,Sutter,1980,42,21,1,55
California,Tulare,1980,214,68,1,55
California,Tuolumne,1980,208,70,1,55
California,Ventura,1980,258,89,1,55
California,Yolo,1980,203,40,1,55
Colorado,Adams,1980,150,60,1,44
Colorado,Arapahoe,1980,161,39,1,44
Colorado,Boulder,1980,195,33,1,44
Colorado,Denver,1980,244,94,1,44
Colorado,El Paso,1980,150,57,1,44
Colorado,Jefferson,1980,166,49,1,44
Colorado,Larimer,1980,190,34,1,44
Colorado,Mesa,1980,67,18,1,44
Colorado,Pueblo,1980,69,17,1,44
Colorado,Weld,1980,192,43,1,44
Hawaii,Honolulu,1980,34,18,1,18
Idaho,Ada,1980,148,57,1,85
Idaho,Bannock,1980,200,69,1,85
Idaho,Caribou,1980,200,94,1,85
Idaho,Shoshone,1980,200,121,1,85
Montana,Cascade,1980,249,33,1,39
Montana,Daniels,1980,170,3,1,39
Montana,Deer Lodge,1980,254,30,1,39
Montana,Jefferson,1980,130,14,1,39
Montana,Lewis and Clark,1980,200,50,1,39
Montana,Missoula,1980,197,55,1,39
Montana,Rosebud,1980,97,37,1,39
Montana,Silver Bow,1980,112,36,1,39
Montana,Yellowstone,1980,200,94,1,39
Nevada,Clark,1980,209,85,1,71
Nevada,Washoe,1980,220,57,1,71
Oregon,Clackamas,1980,143,26,1,44
Oregon,Columbia,1980,100,26,1,44
Oregon,Crook,1980,126,40,1,44
Oregon,Jackson,1980,226,80,1,44
Oregon,Lane,1980,136,39,1,44
Oregon,Marion,1980,156,20,1,44
Oregon,Multnomah,1980,208,74,1,44
Utah,Davis,1980,224,56,1,36
Utah,Emery,1980,69,19,1,36
Utah,Grand,1980,14,0,1,36
Utah,Iron,1980,56,14,1,36
Utah,Salt Lake,1980,238,112,1,36
Utah,Tooele,1980,148,0,1,36
Utah,Uintah,1980,100,19,1,36
Utah,Utah,1980,198,57,1,36
Utah,Weber,1980,182,51,1,36
Washington,Clallam,1980,200,107,1,53
Washington,Clark,1980,165,32,1,53
Washington,Cowlitz,1980,81,14,1,53
Washington,King,1980,200,79,1,53
Washington,Pierce,1980,200,56,1,53
Washington,Snohomish,1980,200,29,1,53
Washington,Spokane,1980,226,80,1,53
Washington,Yakima,1980,108,28,1,53
Arizona,Cochise,1980,200,117,2,90
Arizona,Coconino,1980,101,40,2,90
Arizona,Gila,1980,200,173,2,90
Arizona,Greenlee,1980,200,181,2,90
Arizona,Maricopa,1980,227,79,2,90
Arizona,Pima,1980,200,101,2,90
Arizona,Pinal,1980,200,39,2,90
Arizona,Yavapai,1980,108,47,2,90
Arizona,Yuma,1980,182,29,2,90
New Mexico,Bernalillo,1980,257,54,2,37
New Mexico,Dona Ana,1980,200,45,2,37
New Mexico,Grant,1980,200,14,2,37
New Mexico,Hidalgo,1980,200,29,2,37
New Mexico,San Juan,1980,200,56,2,37
New Mexico,Santa Fe,1980,72,24,2,37
Oklahoma,Cleveland,1980,187,34,2,33
Oklahoma,Garvin,1980,103,0,2,33
Oklahoma,Oklahoma,1980,203,44,2,33
Oklahoma,Stephens,1980,148,10,2,33
Oklahoma,Tulsa,1980,245,77,2,33
Texas,Bexar,1980,207,44,2,47
Texas,Brazoria,1980,203,34,2,47
Texas,Cameron,1980,40,28,2,47
Texas,Dallas,1980,224,47,2,47
Texas,Ector,1980,164,42,2,47
Texas,El Paso,1980,227,81,2,47
Texas,Galveston,1980,235,43,2,47
Texas,Gregg,1980,195,42,2,47
Texas,Harris,1980,297,94,2,47
Texas,Hutchinson,1980,112,43,2,47
Texas,Jefferson,1980,235,43,2,47
Texas,Nueces,1980,232,40,2,47
Texas,Orange,1980,224,44,2,47
Texas,Potter,1980,112,38,2,47
Texas,Tarrant,1980,219,57,2,47
Texas,Travis,1980,174,38,2,47
Illinois,Adams,1980,156,41,3,50
Illinois,Champaign,1980,133,28,3,50
Illinois,Cook,1980,217,99,3,50
Illinois,Crawford,1980,180,46,3,50
Illinois,DuPage,1980,216,26,3,50
Illinois,Kane,1980,143,29,3,50
Illinois,La Salle,1980,161,31,3,50
Illinois,Lake,1980,249,33,3,50
Illinois,Macon,1980,200,43,3,50
Illinois,Macoupin,1980,201,34,3,50
Illinois,Madison,1980,233,100,3,50
Illinois,Massac,1980,200,116,3,50
Illinois,McHenry,1980,192,32,3,50
Illinois,Monroe,1980,202,38,3,50
Illinois,Peoria,1980,154,40,3,50
Illinois,Rock Island,1980,207,42,3,50
Illinois,Saint Clair,1980,219,80,3,50
