State,County,State_County,Year,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,Alabama Baldwin,2015,38,0,0,189,0,75,0
Alabama,Clay,Alabama Clay,2015,32,0,0,0,0,112,0
Alabama,Colbert,Alabama Colbert,2015,36,0,0,195,0,85,0
Alabama,DeKalb,Alabama DeKalb,2015,37,0,0,307,0,56,0
Alabama,Elmore,Alabama Elmore,2015,35,0,0,233,0,0,0
Alabama,Etowah,Alabama Etowah,2015,46,0,0,119,0,246,0
Alabama,Houston,Alabama Houston,2015,33,0,0,211,0,72,0
Alabama,Jefferson,Alabama Jefferson,2015,48,0,11,106,6,239,3
Alabama,Lawrence,Alabama Lawrence,2015,27,0,0,0,0,114,0
Alabama,Madison,Alabama Madison,2015,38,0,0,215,0,63,55
Alabama,Mobile,Alabama Mobile,2015,40,0,0,140,0,223,0
Alabama,Montgomery,Alabama Montgomery,2015,45,0,0,112,0,247,0
Alabama,Morgan,Alabama Morgan,2015,38,0,0,164,0,201,0
Alabama,Russell,Alabama Russell,2015,47,0,0,76,0,261,0
Alabama,Shelby,Alabama Shelby,2015,39,0,0,225,0,32,0
Alabama,Sumter,Alabama Sumter,2015,40,0,0,134,0,180,0
Alabama,Talladega,Alabama Talladega,2015,40,0,0,0,0,107,0
Alabama,Tuscaloosa,Alabama Tuscaloosa,2015,49,0,0,50,0,307,0
Alaska,Aleutians East ,Alaska Aleutians East ,2015,10,0,0,0,0,117,0
Alaska,Anchorage ,Alaska Anchorage ,2015,28,3,0,0,0,263,95
Alaska,Denali ,Alaska Denali ,2015,34,0,0,357,0,6,0
Alaska,Fairbanks North Star ,Alaska Fairbanks North Star ,2015,54,0,3,84,2,268,8
Alaska,Juneau ,Alaska Juneau ,2015,21,0,0,0,0,349,2
Alaska,Kenai Peninsula ,Alaska Kenai Peninsula ,2015,5,0,0,0,0,40,0
Alaska,Matanuska-Susitna ,Alaska Matanuska-Susitna ,2015,29,0,0,190,0,137,38
Alaska,Yukon-Koyukuk ,Alaska Yukon-Koyukuk ,2015,4,0,0,0,0,83,0
Arizona,Apache,Arizona Apache,2015,11,0,0,0,0,52,309
Arizona,Cochise,Arizona Cochise,2015,44,0,0,332,0,10,23
Arizona,Coconino,Arizona Coconino,2015,44,0,0,359,0,6,0
Arizona,Gila,Arizona Gila,2015,84,0,0,91,248,2,24
Arizona,La Paz,Arizona La Paz,2015,42,0,9,292,8,13,38
Arizona,Maricopa,Arizona Maricopa,2015,64,0,25,219,0,89,32
Arizona,Mohave,Arizona Mohave,2015,17,0,0,0,0,41,323
Arizona,Navajo,Arizona Navajo,2015,39,0,0,320,0,9,36
Arizona,Pima,Arizona Pima,2015,45,0,2,279,0,17,67
Arizona,Pinal,Arizona Pinal,2015,63,0,0,140,0,38,187
Arizona,Santa Cruz,Arizona Santa Cruz,2015,30,0,0,0,0,264,101
Arizona,Yavapai,Arizona Yavapai,2015,41,0,0,275,0,25,0
Arizona,Yuma,Arizona Yuma,2015,43,0,0,212,0,20,133
Arkansas,Arkansas,Arkansas Arkansas,2015,34,0,0,0,0,116,0
Arkansas,Ashley,Arkansas Ashley,2015,31,0,0,0,0,116,0
Arkansas,Clark,Arkansas Clark,2015,33,0,0,320,0,0,0
Arkansas,Crittenden,Arkansas Crittenden,2015,36,0,23,291,0,51,0
Arkansas,Garland,Arkansas Garland,2015,34,0,0,0,0,120,0
Arkansas,Jackson,Arkansas Jackson,2015,31,0,0,0,0,119,0
Arkansas,Newton,Arkansas Newton,2015,35,0,0,340,0,25,0
Arkansas,Polk,Arkansas Polk,2015,38,0,0,312,0,49,0
Arkansas,Pulaski,Arkansas Pulaski,2015,44,0,6,147,0,212,0
Arkansas,Union,Arkansas Union,2015,4,0,0,0,248,117,0
Arkansas,Washington,Arkansas Washington,2015,37,0,0,325,0,40,0
California,Alameda,California Alameda,2015,46,0,15,180,0,170,0
California,Alpine,California Alpine,2015,102,0,0,0,0,31,0
California,Amador,California Amador,2015,41,0,0,364,0,0,0
California,Butte,California Butte,2015,52,0,0,237,0,127,1
California,Calaveras,California Calaveras,2015,45,0,0,274,0,91,0
California,Colusa,California Colusa,2015,46,0,0,154,0,208,3
California,Contra Costa,California Contra Costa,2015,44,0,7,213,0,145,0
California,Del Norte,California Del Norte,2015,15,0,0,0,0,114,0
California,El Dorado,California El Dorado,2015,44,0,0,350,0,5,10
California,Fresno,California Fresno,2015,80,0,0,227,0,133,5
California,Glenn,California Glenn,2015,44,0,0,243,0,99,23
California,Humboldt,California Humboldt,2015,36,0,0,183,0,176,6
California,Imperial,California Imperial,2015,63,0,5,147,0,127,86
California,Inyo,California Inyo,2015,48,0,0,286,0,29,50
California,Kern,California Kern,2015,84,0,1,231,0,129,4
California,Kings,California Kings,2015,71,0,0,197,0,131,37
California,Lake,California Lake,2015,36,0,0,361,0,2,0
California,Los Angeles,California Los Angeles,2015,79,0,25,189,0,149,2
California,Madera,California Madera,2015,63,0,0,223,0,127,15
California,Marin,California Marin,2015,36,0,16,178,0,169,1
California,Mariposa,California Mariposa,2015,46,0,0,327,0,29,9
California,Mendocino,California Mendocino,2015,38,0,0,136,0,229,0
California,Merced,California Merced,2015,58,0,0,217,0,147,1
California,Mono,California Mono,2015,14,0,0,0,0,29,336
California,Monterey,California Monterey,2015,37,0,2,258,0,80,25
California,Napa,California Napa,2015,44,1,1,145,0,216,2
California,Nevada,California Nevada,2015,47,0,0,356,0,8,0
California,Orange,California Orange,2015,56,0,36,128,0,200,1
California,Placer,California Placer,2015,54,0,0,267,0,98,0
California,Plumas,California Plumas,2015,50,0,0,0,0,132,0
California,Riverside,California Riverside,2015,87,0,0,194,0,107,64
California,Sacramento,California Sacramento,2015,54,0,4,193,0,168,0
California,San Benito,California San Benito,2015,39,0,0,341,0,23,1
California,San Bernardino,California San Bernardino,2015,83,0,31,202,0,125,7
California,San Diego,California San Diego,2015,61,0,8,208,0,147,2
California,San Francisco,California San Francisco,2015,35,0,68,164,0,133,0
California,San Joaquin,California San Joaquin,2015,56,0,1,170,0,188,6
California,San Luis Obispo,California San Luis Obispo,2015,53,0,0,191,0,148,26
California,San Mateo,California San Mateo,2015,32,0,40,230,0,94,0
California,Santa Barbara,California Santa Barbara,2015,45,0,3,251,0,106,5
California,Santa Clara,California Santa Clara,2015,43,0,15,187,0,163,0
California,Santa Cruz,California Santa Cruz,2015,35,0,0,254,0,111,0
California,Shasta,California Shasta,2015,44,0,0,354,0,11,0
California,Siskiyou,California Siskiyou,2015,36,0,0,343,0,17,2
California,Solano,California Solano,2015,44,0,6,201,0,157,1
California,Sonoma,California Sonoma,2015,35,0,1,267,0,94,3
California,Stanislaus,California Stanislaus,2015,59,0,0,202,0,154,9
California,Sutter,California Sutter,2015,49,1,2,233,0,129,0
California,Tehama,California Tehama,2015,45,0,0,311,0,52,2
California,Trinity,California Trinity,2015,9,0,0,0,0,68,0
California,Tulare,California Tulare,2015,78,0,0,206,0,154,5
California,Tuolumne,California Tuolumne,2015,43,0,0,364,0,0,0
California,Ventura,California Ventura,2015,50,0,4,226,0,131,4
California,Yolo,California Yolo,2015,44,0,2,230,0,133,0
Colorado,Adams,Colorado Adams,2015,45,0,133,206,0,6,19
Colorado,Alamosa,Colorado Alamosa,2015,17,0,0,0,0,5,359
Colorado,Arapahoe,Colorado Arapahoe,2015,45,0,0,348,0,13,0
Colorado,Archuleta,Colorado Archuleta,2015,17,0,0,0,0,0,348
Colorado,Boulder,Colorado Boulder,2015,44,0,0,335,0,28,2
Colorado,Chaffee,Colorado Chaffee,2015,47,0,0,100,0,0,0
Colorado,Clear Creek,Colorado Clear Creek,2015,48,0,0,295,0,0,0
Colorado,Delta,Colorado Delta,2015,16,0,0,0,0,0,114
Colorado,Denver,Colorado Denver,2015,52,0,141,128,0,94,2
Colorado,Douglas,Colorado Douglas,2015,44,0,0,351,0,11,0
Colorado,El Paso,Colorado El Paso,2015,44,1,0,330,28,6,0
Colorado,Fremont,Colorado Fremont,2015,11,0,0,0,0,0,57
Colorado,Garfield,Colorado Garfield,2015,45,0,0,363,0,2,0
Colorado,Grand,Colorado Grand,2015,38,0,0,64,0,0,0
Colorado,Gunnison,Colorado Gunnison,2015,44,0,0,357,0,0,8
Colorado,Jackson,Colorado Jackson,2015,38,0,14,342,0,7,0
Colorado,Jefferson,Colorado Jefferson,2015,45,0,0,365,0,0,0
Colorado,La Plata,Colorado La Plata,2015,43,0,2,363,0,0,0
Colorado,Larimer,Colorado Larimer,2015,49,0,0,322,0,43,0
Colorado,Mesa,Colorado Mesa,2015,45,0,0,291,0,74,0
Colorado,Moffat,Colorado Moffat,2015,36,0,0,141,0,0,0
Colorado,Montezuma,Colorado Montezuma,2015,44,0,0,364,0,1,0
Colorado,Park,Colorado Park,2015,45,0,0,348,0,2,0
Colorado,Pitkin,Colorado Pitkin,2015,11,0,0,0,0,34,90
Colorado,Prowers,Colorado Prowers,2015,14,0,0,0,0,0,351
Colorado,Pueblo,Colorado Pueblo,2015,19,0,0,0,0,89,40
Colorado,Rio Blanco,Colorado Rio Blanco,2015,43,0,0,321,0,44,0
Colorado,Routt,Colorado Routt,2015,13,0,0,0,0,0,364
Colorado,San Juan,Colorado San Juan,2015,6,0,0,0,0,121,0
Colorado,San Miguel,Colorado San Miguel,2015,44,0,0,173,0,0,63
Colorado,Weld,Colorado Weld,2015,47,0,0,334,0,28,3
Connecticut,Fairfield,Connecticut Fairfield,2015,46,2,0,145,0,218,0
Connecticut,Hartford,Connecticut Hartford,2015,45,0,32,136,0,195,2
Connecticut,Litchfield,Connecticut Litchfield,2015,39,0,3,292,0,69,1
Connecticut,Middlesex,Connecticut Middlesex,2015,43,0,0,183,0,0,0
Connecticut,New Haven,Connecticut New Haven,2015,45,0,12,184,0,169,0
Connecticut,New London,Connecticut New London,2015,36,0,0,167,0,192,0
Connecticut,Tolland,Connecticut Tolland,2015,39,0,0,183,0,0,0
Connecticut,Windham,Connecticut Windham,2015,35,0,0,356,0,0,0
Country Of Mexico,BAJA CALIFORNIA NORTE,Country Of Mexico BAJA CALIFORNIA NORTE,2015,73,0,0,0,0,0,56
Delaware,Kent,Delaware Kent,2015,41,0,0,260,0,105,0
Delaware,New Castle,Delaware New Castle,2015,48,0,8,221,1,135,0
Delaware,Sussex,Delaware Sussex,2015,42,0,0,283,0,82,0
District Of Columbia,District of Columbia,District Of Columbia District of Columbia,2015,47,0,31,159,0,175,0
Florida,Alachua,Florida Alachua,2015,34,0,0,209,0,156,0
Florida,Baker,Florida Baker,2015,32,0,0,364,0,0,0
Florida,Bay,Florida Bay,2015,37,0,0,211,0,154,0
Florida,Brevard,Florida Brevard,2015,37,0,0,306,0,58,1
Florida,Broward,Florida Broward,2015,34,0,13,227,0,125,0
Florida,Citrus,Florida Citrus,2015,16,0,0,0,253,112,0
Florida,Collier,Florida Collier,2015,33,0,0,202,0,161,0
Florida,Columbia,Florida Columbia,2015,35,0,0,222,0,99,0
Florida,Duval,Florida Duval,2015,38,0,13,177,0,172,3
Florida,Escambia,Florida Escambia,2015,40,0,0,217,0,148,0
Florida,Flagler,Florida Flagler,2015,33,0,0,365,0,0,0
Florida,Hamilton,Florida Hamilton,2015,32,0,0,0,0,317,0
Florida,Highlands,Florida Highlands,2015,31,0,0,356,0,0,0
Florida,Hillsborough,Florida Hillsborough,2015,44,0,4,159,15,187,0
Florida,Holmes,Florida Holmes,2015,37,0,0,208,0,153,0
Florida,Indian River,Florida Indian River,2015,34,0,0,333,0,0,0
Florida,Lake,Florida Lake,2015,34,0,0,364,0,0,0
Florida,Lee,Florida Lee,2015,36,0,0,227,0,137,1
Florida,Leon,Florida Leon,2015,40,0,0,123,0,240,0
Florida,Liberty,Florida Liberty,2015,31,0,0,352,0,0,0
Florida,Manatee,Florida Manatee,2015,34,0,0,365,0,0,0
Florida,Marion,Florida Marion,2015,35,0,0,240,0,125,0
Florida,Martin,Florida Martin,2015,35,0,0,244,0,121,0
Florida,Miami-Dade,Florida Miami-Dade,2015,40,0,3,114,0,248,0
Florida,Nassau,Florida Nassau,2015,33,0,0,0,48,317,0
Florida,Okaloosa,Florida Okaloosa,2015,33,0,0,350,0,0,15
Florida,Orange,Florida Orange,2015,38,0,0,218,0,147,0
Florida,Osceola,Florida Osceola,2015,32,0,0,357,0,0,0
Florida,Palm Beach,Florida Palm Beach,2015,37,0,0,171,0,112,82
Florida,Pasco,Florida Pasco,2015,37,0,0,365,0,0,0
Florida,Pinellas,Florida Pinellas,2015,38,0,0,233,0,131,1
Florida,Polk,Florida Polk,2015,37,0,0,210,1,154,0
Florida,Putnam,Florida Putnam,2015,13,0,0,0,42,0,307
Florida,Santa Rosa,Florida Santa Rosa,2015,38,0,0,217,0,148,0
Florida,Sarasota,Florida Sarasota,2015,40,0,0,221,0,144,0
Florida,Seminole,Florida Seminole,2015,34,0,0,335,0,15,11
Florida,St. Lucie,Florida St. Lucie,2015,32,0,0,350,0,0,0
Florida,Volusia,Florida Volusia,2015,36,0,0,275,0,90,0
Florida,Wakulla,Florida Wakulla,2015,36,1,0,184,0,170,0
Georgia,Bibb,Georgia Bibb,2015,41,0,0,124,0,241,0
Georgia,Charlton,Georgia Charlton,2015,24,0,0,0,0,119,0
Georgia,Chatham,Georgia Chatham,2015,38,0,0,107,44,214,0
Georgia,Chattooga,Georgia Chattooga,2015,36,0,0,191,0,0,0
Georgia,Clarke,Georgia Clarke,2015,38,0,0,148,0,210,0
Georgia,Clayton,Georgia Clayton,2015,39,0,0,0,0,121,0
Georgia,Cobb,Georgia Cobb,2015,42,0,0,156,0,203,0
Georgia,Coffee,Georgia Coffee,2015,28,0,0,0,0,60,0
Georgia,Columbia,Georgia Columbia,2015,37,0,0,243,0,0,0
Georgia,Coweta,Georgia Coweta,2015,35,0,0,142,0,223,0
Georgia,Dawson,Georgia Dawson,2015,38,0,0,227,0,0,0
Georgia,DeKalb,Georgia DeKalb,2015,50,0,35,74,0,256,0
Georgia,Dougherty,Georgia Dougherty,2015,42,0,0,0,0,365,0
Georgia,Douglas,Georgia Douglas,2015,37,0,0,234,0,0,0
Georgia,Floyd,Georgia Floyd,2015,38,0,0,0,36,329,0
Georgia,Fulton,Georgia Fulton,2015,49,1,20,105,0,239,0
Georgia,Glynn,Georgia Glynn,2015,34,0,0,179,0,175,0
Georgia,Gwinnett,Georgia Gwinnett,2015,40,0,0,171,0,194,0
Georgia,Hall,Georgia Hall,2015,48,0,0,0,0,264,0
Georgia,Henry,Georgia Henry,2015,36,0,0,160,0,204,0
Georgia,Houston,Georgia Houston,2015,35,0,0,0,0,363,0
Georgia,Lowndes,Georgia Lowndes,2015,38,0,0,0,0,357,0
Georgia,Murray,Georgia Murray,2015,37,0,0,225,0,55,0
Georgia,Muscogee,Georgia Muscogee,2015,38,0,0,122,0,227,0
Georgia,Paulding,Georgia Paulding,2015,43,0,3,97,0,265,0
Georgia,Pike,Georgia Pike,2015,35,0,0,355,0,0,0
Georgia,Richmond,Georgia Richmond,2015,40,0,0,138,36,190,0
Georgia,Rockdale,Georgia Rockdale,2015,31,0,120,244,0,0,0
Georgia,Sumter,Georgia Sumter,2015,34,0,0,245,0,0,0
Georgia,Walker,Georgia Walker,2015,39,0,0,0,0,359,0
Georgia,Washington,Georgia Washington,2015,32,0,0,0,0,119,0
Georgia,Wilkinson,Georgia Wilkinson,2015,38,0,0,0,0,115,0
Hawaii,Hawaii,Hawaii Hawaii,2015,136,0,0,0,351,14,0
Hawaii,Honolulu,Hawaii Honolulu,2015,34,0,1,161,2,185,16
Hawaii,Kauai,Hawaii Kauai,2015,14,0,116,0,17,229,0
Hawaii,Maui,Hawaii Maui,2015,25,0,0,0,0,365,0
Idaho,Ada,Idaho Ada,2015,40,4,51,223,0,66,21
Idaho,Bannock,Idaho Bannock,2015,30,0,0,0,104,220,41
Idaho,Benewah,Idaho Benewah,2015,46,0,0,0,0,365,0
Idaho,Blaine,Idaho Blaine,2015,10,0,0,0,0,202,0
Idaho,Boise,Idaho Boise,2015,29,0,0,0,0,275,0
Idaho,Bonner,Idaho Bonner,2015,21,0,0,0,0,238,127
Idaho,Bonneville,Idaho Bonneville,2015,18,0,0,0,0,104,0
Idaho,Butte,Idaho Butte,2015,40,0,0,355,0,5,0
Idaho,Canyon,Idaho Canyon,2015,27,0,0,0,0,249,115
Idaho,Caribou,Idaho Caribou,2015,3,0,0,0,356,0,0
Idaho,Custer,Idaho Custer,2015,6,0,0,0,0,117,0
Idaho,Franklin,Idaho Franklin,2015,21,0,0,0,0,335,0
Idaho,Idaho,Idaho Idaho,2015,20,0,0,0,0,269,0
Idaho,Jerome,Idaho Jerome,2015,12,0,0,0,0,22,0
Idaho,Kootenai,Idaho Kootenai,2015,30,0,0,0,0,324,0
Idaho,Latah,Idaho Latah,2015,11,0,0,0,0,265,0
Idaho,Lemhi,Idaho Lemhi,2015,38,0,0,0,0,355,0
Idaho,Nez Perce,Idaho Nez Perce,2015,19,0,0,0,0,271,0
Idaho,Shoshone,Idaho Shoshone,2015,43,0,0,0,0,338,25
Idaho,Twin Falls,Idaho Twin Falls,2015,24,0,0,0,0,275,0
Idaho,Valley,Idaho Valley,2015,13,0,0,0,0,247,0
