State,County,State_County,Year,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,Alabama Baldwin,2019,40,0,0,139,0,27,0
Alabama,Clay,Alabama Clay,2019,29,0,0,0,0,63,0
Alabama,Colbert,Alabama Colbert,2019,38,0,0,138,0,33,0
Alabama,DeKalb,Alabama DeKalb,2019,39,0,0,187,0,21,0
Alabama,Elmore,Alabama Elmore,2019,41,0,0,148,0,0,0
Alabama,Etowah,Alabama Etowah,2019,43,0,0,136,0,34,0
Alabama,Houston,Alabama Houston,2019,38,0,0,130,0,40,0
Alabama,Jefferson,Alabama Jefferson,2019,51,1,1,32,5,81,1
Alabama,Madison,Alabama Madison,2019,44,0,0,89,0,92,0
Alabama,Mobile,Alabama Mobile,2019,42,0,0,90,3,118,0
Alabama,Montgomery,Alabama Montgomery,2019,51,0,0,40,0,172,0
Alabama,Morgan,Alabama Morgan,2019,41,0,0,116,0,96,0
Alabama,Russell,Alabama Russell,2019,42,0,0,70,0,142,0
Alabama,Shelby,Alabama Shelby,2019,37,0,0,148,58,0,0
Alabama,Sumter,Alabama Sumter,2019,34,0,0,109,8,90,0
Alabama,Tuscaloosa,Alabama Tuscaloosa,2019,35,0,0,111,0,44,0
Alaska,Anchorage ,Alaska Anchorage ,2019,27,2,0,0,0,112,67
Alaska,Bethel ,Alaska Bethel ,2019,10,0,0,0,0,86,70
Alaska,Denali ,Alaska Denali ,2019,38,0,0,237,0,0,0
Alaska,Fairbanks North Star ,Alaska Fairbanks North Star ,2019,39,1,16,80,1,81,3
Alaska,Juneau ,Alaska Juneau ,2019,25,0,0,0,0,170,10
Alaska,Matanuska-Susitna ,Alaska Matanuska-Susitna ,2019,18,0,0,0,0,137,44
Arizona,Apache,Arizona Apache,2019,11,0,0,0,0,18,253
Arizona,Cochise,Arizona Cochise,2019,47,0,0,221,0,30,22
Arizona,Coconino,Arizona Coconino,2019,46,0,0,273,0,0,0
Arizona,Gila,Arizona Gila,2019,67,0,0,197,74,0,2
Arizona,La Paz,Arizona La Paz,2019,45,0,0,268,0,4,0
Arizona,Maricopa,Arizona Maricopa,2019,62,1,1,207,0,31,34
Arizona,Mohave,Arizona Mohave,2019,15,0,0,0,0,0,273
Arizona,Navajo,Arizona Navajo,2019,45,0,0,237,0,0,33
Arizona,Pima,Arizona Pima,2019,49,1,0,218,0,7,48
