State,County,State_County,Year,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,Alabama Baldwin,2016,37,0,0,221,0,58,0
Alabama,Clay,Alabama Clay,2016,30,0,0,0,0,116,0
Alabama,Colbert,Alabama Colbert,2016,38,0,0,219,0,63,0
Alabama,DeKalb,Alabama DeKalb,2016,40,0,0,321,0,27,0
Alabama,Elmore,Alabama Elmore,2016,40,0,0,117,0,0,0
Alabama,Etowah,Alabama Etowah,2016,52,0,0,104,0,248,0
Alabama,Houston,Alabama Houston,2016,35,0,0,221,0,59,0
Alabama,Jefferson,Alabama Jefferson,2016,49,0,16,147,1,199,3
Alabama,Lawrence,Alabama Lawrence,2016,25,0,0,0,0,118,0
Alabama,Madison,Alabama Madison,2016,40,0,0,235,0,45,57
Alabama,Mobile,Alabama Mobile,2016,41,0,0,138,9,219,0
Alabama,Montgomery,Alabama Montgomery,2016,42,0,0,175,0,188,0
Alabama,Morgan,Alabama Morgan,2016,40,0,0,214,0,151,0
Alabama,Russell,Alabama Russell,2016,43,0,0,176,0,81,0
Alabama,Shelby,Alabama Shelby,2016,41,0,0,244,0,0,0
Alabama,Sumter,Alabama Sumter,2016,34,0,0,185,0,151,0
Alabama,Talladega,Alabama Talladega,2016,35,0,0,0,0,117,0
Alabama,Tuscaloosa,Alabama Tuscaloosa,2016,47,0,0,93,0,272,0
Alaska,Aleutians East ,Alaska Aleutians East ,2016,8,0,0,0,0,119,0
Alaska,Anchorage ,Alaska Anchorage ,2016,31,0,0,0,0,214,147
Alaska,Denali ,Alaska Denali ,2016,33,0,0,354,0,4,0
Alaska,Fairbanks North Star ,Alaska Fairbanks North Star ,2016,37,0,4,136,2,209,15
Alaska,Juneau ,Alaska Juneau ,2016,20,0,0,0,0,297,8
Alaska,Kenai Peninsula ,Alaska Kenai Peninsula ,2016,7,0,0,0,0,122,0
Alaska,Matanuska-Susitna ,Alaska Matanuska-Susitna ,2016,33,0,0,250,0,88,28
Arizona,Apache,Arizona Apache,2016,13,0,0,0,0,33,333
Arizona,Cochise,Arizona Cochise,2016,44,0,0,323,0,3,40
Arizona,Coconino,Arizona Coconino,2016,44,0,0,363,0,3,0
Arizona,Gila,Arizona Gila,2016,85,0,0,82,263,0,21
Arizona,La Paz,Arizona La Paz,2016,41,0,1,291,3,34,36
Arizona,Maricopa,Arizona Maricopa,2016,64,0,33,186,0,74,73
Arizona,Mohave,Arizona Mohave,2016,18,0,0,0,0,34,323
Arizona,Navajo,Arizona Navajo,2016,43,0,0,352,0,0,14
Arizona,Pima,Arizona Pima,2016,49,0,0,245,0,14,107
Arizona,Pinal,Arizona Pinal,2016,69,0,0,109,0,34,223
Arizona,Santa Cruz,Arizona Santa Cruz,2016,38,0,0,0,0,200,163
Arizona,Yavapai,Arizona Yavapai,2016,40,0,0,343,0,6,0
Arizona,Yuma,Arizona Yuma,2016,46,0,0,213,0,43,110
Arkansas,Arkansas,Arkansas Arkansas,2016,33,0,0,0,0,119,0
Arkansas,Ashley,Arkansas Ashley,2016,34,0,0,0,0,118,0
Arkansas,Clark,Arkansas Clark,2016,34,0,0,355,0,0,0
Arkansas,Crittenden,Arkansas Crittenden,2016,39,0,20,308,0,38,0
Arkansas,Garland,Arkansas Garland,2016,36,0,0,0,0,119,0
Arkansas,Jackson,Arkansas Jackson,2016,30,0,0,0,0,115,0
Arkansas,Newton,Arkansas Newton,2016,37,0,0,343,0,23,0
Arkansas,Polk,Arkansas Polk,2016,40,0,0,323,0,43,0
Arkansas,Pulaski,Arkansas Pulaski,2016,44,0,6,166,0,194,0
Arkansas,Union,Arkansas Union,2016,4,0,0,0,246,120,0
Arkansas,Washington,Arkansas Washington,2016,38,0,0,326,0,40,0
California,Alameda,California Alameda,2016,44,0,15,214,0,137,0
California,Alpine,California Alpine,2016,22,0,0,0,0,24,0
California,Amador,California Amador,2016,37,0,0,366,0,0,0
California,Butte,California Butte,2016,52,0,0,199,0,167,0
California,Calaveras,California Calaveras,2016,44,0,0,280,0,85,1
California,Colusa,California Colusa,2016,43,0,0,248,0,99,19
California,Contra Costa,California Contra Costa,2016,40,0,2,223,0,141,0
California,Del Norte,California Del Norte,2016,20,0,0,0,0,177,0
California,El Dorado,California El Dorado,2016,45,0,0,365,0,1,0
California,Fresno,California Fresno,2016,74,0,1,217,0,136,12
California,Glenn,California Glenn,2016,43,0,0,210,0,143,9
California,Humboldt,California Humboldt,2016,35,0,1,229,0,130,6
California,Imperial,California Imperial,2016,60,0,2,144,0,90,130
California,Inyo,California Inyo,2016,44,0,0,313,0,16,37
California,Kern,California Kern,2016,80,0,0,231,0,128,7
California,Kings,California Kings,2016,70,0,0,184,0,133,49
California,Lake,California Lake,2016,33,0,0,363,0,2,0
California,Los Angeles,California Los Angeles,2016,75,0,33,174,0,157,2
California,Madera,California Madera,2016,59,0,0,217,0,134,15
California,Marin,California Marin,2016,32,0,14,221,0,131,0
California,Mariposa,California Mariposa,2016,46,0,0,270,0,80,16
California,Mendocino,California Mendocino,2016,33,0,0,193,0,167,4
California,Merced,California Merced,2016,53,0,0,225,0,138,3
California,Mono,California Mono,2016,18,0,0,0,0,19,347
California,Monterey,California Monterey,2016,36,0,0,262,0,63,41
California,Napa,California Napa,2016,37,0,2,166,0,197,1
California,Nevada,California Nevada,2016,44,0,0,359,0,7,0
California,Orange,California Orange,2016,54,0,30,173,0,162,1
California,Placer,California Placer,2016,48,0,0,290,0,76,0
California,Plumas,California Plumas,2016,32,0,0,0,0,355,0
California,Riverside,California Riverside,2016,82,0,0,210,0,97,59
California,Sacramento,California Sacramento,2016,49,0,5,221,0,140,0
California,San Benito,California San Benito,2016,39,0,0,352,0,14,0
California,San Bernardino,California San Bernardino,2016,83,0,37,204,0,116,9
California,San Diego,California San Diego,2016,66,0,4,224,0,138,0
California,San Francisco,California San Francisco,2016,36,0,45,154,0,166,0
California,San Joaquin,California San Joaquin,2016,55,0,2,144,0,217,3
California,San Luis Obispo,California San Luis Obispo,2016,51,0,0,249,0,75,42
California,San Mateo,California San Mateo,2016,37,0,26,119,0,220,0
California,Santa Barbara,California Santa Barbara,2016,44,0,0,259,0,72,35
California,Santa Clara,California Santa Clara,2016,40,0,14,191,0,161,0
California,Santa Cruz,California Santa Cruz,2016,32,0,0,255,0,111,0
California,Shasta,California Shasta,2016,41,0,0,363,0,3,0
California,Siskiyou,California Siskiyou,2016,27,0,0,342,0,20,0
California,Solano,California Solano,2016,40,0,3,208,0,155,0
California,Sonoma,California Sonoma,2016,32,0,0,298,0,64,4
California,Stanislaus,California Stanislaus,2016,55,0,1,202,0,159,4
California,Sutter,California Sutter,2016,53,0,0,204,0,162,0
California,Tehama,California Tehama,2016,44,0,0,325,0,40,1
California,Trinity,California Trinity,2016,38,0,0,0,0,167,0
California,Tulare,California Tulare,2016,77,0,0,222,0,137,7
California,Tuolumne,California Tuolumne,2016,44,0,0,354,0,0,0
California,Ventura,California Ventura,2016,51,0,0,232,0,127,7
California,Yolo,California Yolo,2016,40,0,1,281,0,83,1
Colorado,Adams,Colorado Adams,2016,44,1,91,181,2,55,36
Colorado,Alamosa,Colorado Alamosa,2016,18,0,0,0,0,4,356
Colorado,Arapahoe,Colorado Arapahoe,2016,44,0,0,360,0,6,0
Colorado,Archuleta,Colorado Archuleta,2016,17,0,0,0,0,0,347
Colorado,Boulder,Colorado Boulder,2016,35,0,0,108,0,80,16
Colorado,Chaffee,Colorado Chaffee,2016,47,0,0,151,0,0,0
Colorado,Clear Creek,Colorado Clear Creek,2016,47,0,0,311,0,0,0
Colorado,Delta,Colorado Delta,2016,16,0,0,0,0,0,119
Colorado,Denver,Colorado Denver,2016,52,0,183,112,1,66,4
Colorado,Douglas,Colorado Douglas,2016,44,0,0,353,0,9,0
Colorado,El Paso,Colorado El Paso,2016,45,0,0,328,16,22,0
Colorado,Fremont,Colorado Fremont,2016,14,0,0,0,0,0,52
Colorado,Garfield,Colorado Garfield,2016,47,0,0,366,0,0,0
Colorado,Grand,Colorado Grand,2016,44,0,0,152,0,0,0
Colorado,Gunnison,Colorado Gunnison,2016,44,0,0,344,0,0,22
Colorado,Jackson,Colorado Jackson,2016,6,0,0,0,0,115,0
Colorado,Jefferson,Colorado Jefferson,2016,46,0,0,366,0,0,0
Colorado,La Plata,Colorado La Plata,2016,46,0,1,359,0,3,3
Colorado,Larimer,Colorado Larimer,2016,50,0,0,317,0,47,2
Colorado,Mesa,Colorado Mesa,2016,46,0,0,299,0,67,0
Colorado,Moffat,Colorado Moffat,2016,41,0,0,345,0,0,0
Colorado,Montezuma,Colorado Montezuma,2016,44,0,0,366,0,0,0
Colorado,Montrose,Colorado Montrose,2016,40,0,0,253,0,0,0
Colorado,Park,Colorado Park,2016,47,0,0,364,0,1,1
Colorado,Pitkin,Colorado Pitkin,2016,12,0,0,0,0,19,103
Colorado,Prowers,Colorado Prowers,2016,17,0,0,0,0,0,357
Colorado,Pueblo,Colorado Pueblo,2016,20,0,0,0,0,72,56
Colorado,Rio Blanco,Colorado Rio Blanco,2016,43,0,0,342,0,24,0
Colorado,Routt,Colorado Routt,2016,15,0,0,0,0,0,352
Colorado,San Juan,Colorado San Juan,2016,6,0,0,0,0,121,0
Colorado,San Miguel,Colorado San Miguel,2016,44,0,0,187,0,0,58
Colorado,Weld,Colorado Weld,2016,45,0,0,286,0,79,1
Connecticut,Fairfield,Connecticut Fairfield,2016,45,0,0,164,0,202,0
