GEO_ID,STATE,COUNTY,NAME,STATE_COUNTY,LSAD,CENSUSAREA
0500000US22069,22,69,Natchitoches,North Carolina Nash,Parish,1252.25
0500000US56025,56,25,Natrona,Florida Nassau,County,5340.352
0500000US04017,4,17,Navajo,New York Nassau,County,9950.422
0500000US48349,48,349,Navarro,Louisiana Natchitoches,County,1009.627
0500000US21179,21,179,Nelson,Wyoming Natrona,County,417.512
0500000US38063,38,63,Nelson,Arizona Navajo,County,981.775
0500000US51125,51,125,Nelson,Texas Navarro,County,470.856
0500000US20131,20,131,Nemaha,Kentucky Nelson,County,717.427
0500000US31127,31,127,Nemaha,North Dakota Nelson,County,407.382
0500000US20133,20,133,Neosho,Virginia Nelson,County,571.472
0500000US28099,28,99,Neshoba,Kansas Nemaha,County,570.141
0500000US20135,20,135,Ness,Nebraska Nemaha,County,1074.75
0500000US05099,5,99,Nevada,Kansas Neosho,County,617.837
0500000US06057,6,57,Nevada,Mississippi Neshoba,County,957.772
0500000US10003,10,3,New Castle,Kansas Ness,County,426.286
0500000US37129,37,129,New Hanover,Arkansas Nevada,County,191.534
0500000US09009,9,9,New Haven,California Nevada,County,604.506
0500000US51127,51,127,New Kent,Delaware New Castle,County,209.729
0500000US09011,9,11,New London,North Carolina New Hanover,County,664.878
0500000US29143,29,143,New Madrid,Connecticut New Haven,County,674.84
0500000US36061,36,61,New York,Virginia New Kent,County,22.829
0500000US26123,26,123,Newaygo,Connecticut New London,County,813.204
0500000US45071,45,71,Newberry,Missouri New Madrid,County,630.037
0500000US44005,44,5,Newport,New York New York,County,102.386
0500000US51700,51,700,Newport News,Michigan Newaygo,city,68.714
0500000US13217,13,217,Newton,South Carolina Newberry,County,272.161
0500000US28101,28,101,Newton,Rhode Island Newport,County,578.104
0500000US05101,5,101,Newton,Virginia Newport News,County,820.896
0500000US18111,18,111,Newton,Arkansas Newton,County,401.759
0500000US29145,29,145,Newton,Indiana Newton,County,624.765
0500000US48351,48,351,Newton,Mississippi Newton,County,933.677
0500000US16069,16,69,Nez Perce,Missouri Newton,County,848.092
0500000US36063,36,63,Niagara,Texas Newton,County,522.359
0500000US54067,54,67,Nicholas,Georgia Newton,County,646.824
0500000US21181,21,181,Nicholas,Idaho Nez Perce,County,195.171
0500000US27103,27,103,Nicollet,New York Niagara,County,448.494
0500000US56027,56,27,Niobrara,Kentucky Nicholas,County,2626.037
0500000US18113,18,113,Noble,West Virginia Nicholas,County,410.843
0500000US40103,40,103,Noble,Minnesota Nicollet,County,731.895
0500000US39121,39,121,Noble,Wyoming Niobrara,County,398.012
0500000US27105,27,105,Nobles,Indiana Noble,County,715.106
0500000US29147,29,147,Nodaway,Ohio Noble,County,876.964
0500000US48353,48,353,Nolan,Oklahoma Noble,County,911.997
0500000US02180,2,180,Nome,Minnesota Nobles,CA,22961.761
0500000US25021,25,21,Norfolk,Missouri Nodaway,County,396.105
0500000US51710,51,710,Norfolk,Texas Nolan,city,54.12
0500000US27107,27,107,Norman,Alaska Nome,County,872.789
0500000US02185,2,185,North Slope,Massachusetts Norfolk,Borough,88695.413
