,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Total,7.4,7.2,7.0,7.1,7.6,7.8,7.7,7.8,8.2,8.5,8.5,8.3,7.3,7.7,7.8,8.3,7.9
Adults,6.9,6.8,6.4,6.7,7.2,7.3,7.3,7.3,7.7,8.2,8.2,8.0,7.0,7.4,7.6,8.3,7.7
Children,8.7,8.3,8.5,8.5,8.9,9.3,9.1,9.4,9.6,9.4,9.5,9.3,8.3,8.6,8.4,8.3,8.4
