StateAbbr,PlaceName,PlaceFIPS,Population2010,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CASTHMA_AdjPrev,CASTHMA_Adj95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI,Geolocation,UseForStateMap_GEO_ID,UseForStateMap_StateNumber,UseForStateMap_StateName,UseForStateMap_CityName
NY,Mount Vernon,"3649121","67,292","11.6","(11.4, 11.7)","11.6","(11.4, 11.7)","41.1","(40.8, 41.4)","41.3","(41.0, 41.7)","(40.91360085690, -73.8291001676)",0400000US36,"36",New York,Yonkers
NY,New Rochelle,"3650617","77,062","9.6","( 9.5,  9.8)","9.6","( 9.5,  9.8)","34.9","(34.5, 35.2)","35.5","(35.2, 35.8)","(40.93217131410, -73.7843883178)",0400000US36,"36",New York,Yonkers
NY,New York,"3651000","8,175,133","9.7","( 9.7,  9.7)","9.6","( 9.6,  9.7)","39.8","(39.8, 39.9)","39.9","(39.8, 39.9)","(40.69496068900, -73.9313850409)",0400000US36,"36",New York,Yonkers
NY,Rochester,"3663000","210,565","12","(12.0, 12.1)","11.9","(11.8, 12.0)","39.7","(39.5, 39.8)","39.7","(39.5, 39.9)","(43.16798029180, -77.6162348882)",0400000US36,"36",New York,Yonkers
NY,Schenectady,"3665508","66,135","11.2","(11.1, 11.4)","11.2","(11.0, 11.3)","40.9","(40.6, 41.2)","41.2","(40.9, 41.5)","(42.80252044140, -73.9275333869)",0400000US36,"36",New York,Yonkers
NY,Syracuse,"3673000","145,170","11.7","(11.6, 11.9)","11.6","(11.5, 11.7)","39.7","(39.4, 40.0)","40.4","(40.2, 40.6)","(43.04092020970, -76.1437679213)",0400000US36,"36",New York,Yonkers
NY,Yonkers,"3684000","195,976","9.8","( 9.7,  9.9)","9.8","( 9.7,  9.9)","36.3","(36.1, 36.5)","36.7","(36.6, 36.9)","(40.94650255970, -73.8636959965)",0400000US36,"36",New York,Yonkers
NC,Asheville,"3702140","83,393","9.3","( 9.1,  9.4)","9.3","( 9.2,  9.4)","30.1","(29.8, 30.5)","30.8","(30.5, 31.1)","(35.57082513910, -82.5537350816)",0400000US37,"37",North Carolina,Winston-Salem
NC,Cary,"3710740","135,234","8.1","( 8.0,  8.2)","8.1","( 8.0,  8.1)","30.1","(29.9, 30.4)","29.3","(29.0, 29.5)","(35.78149787220, -78.8152191642)",0400000US37,"37",North Carolina,Winston-Salem
NC,Charlotte,"3712000","731,424","9.6","( 9.5,  9.6)","9.5","( 9.4,  9.5)","33.4","(33.3, 33.5)","32.8","(32.7, 32.9)","(35.20787219690, -80.8300754645)",0400000US37,"37",North Carolina,Winston-Salem
NC,Concord,"3714100","79,066","9.7","( 9.6,  9.9)","9.7","( 9.6,  9.9)","32.8","(32.4, 33.1)","32.4","(32.0, 32.7)","(35.39393169580, -80.6352429349)",0400000US37,"37",North Carolina,Winston-Salem
NC,Durham,"3719000","228,330","10.1","(10.0, 10.2)","10","( 9.9, 10.1)","34.4","(34.1, 34.6)","34","(33.8, 34.2)","(35.98091474020, -78.9059161097)",0400000US37,"37",North Carolina,Winston-Salem
NC,Fayetteville,"3722920","200,564","10.5","(10.4, 10.6)","10.3","(10.3, 10.4)","38.3","(38.1, 38.5)","38.5","(38.3, 38.7)","(35.08513095270, -78.9791676456)",0400000US37,"37",North Carolina,Winston-Salem
NC,Gastonia,"3725580","71,741","10.5","(10.3, 10.6)","10.5","(10.4, 10.6)","37.3","(37.0, 37.5)","37.6","(37.3, 37.8)","(35.24729844310, -81.1836588468)",0400000US37,"37",North Carolina,Winston-Salem
NC,Greensboro,"3728000","269,666","10.3","(10.2, 10.4)","10.1","(10.0, 10.2)","35.6","(35.4, 35.8)","35.8","(35.6, 36.0)","(36.09604804150, -79.8276833061)",0400000US37,"37",North Carolina,Winston-Salem
NC,Greenville,"3728080","84,554","10.6","(10.4, 10.8)","10.3","(10.2, 10.4)","37.9","(37.4, 38.5)","39.2","(38.9, 39.6)","(35.59592118760, -77.3766133673)",0400000US37,"37",North Carolina,Winston-Salem
NC,High Point,"3731400","104,371","10.3","(10.2, 10.4)","10.2","(10.1, 10.4)","36","(35.7, 36.2)","36.1","(35.8, 36.3)","(35.98812438030, -79.9932956384)",0400000US37,"37",North Carolina,Winston-Salem
NC,Jacksonville,"3734200","70,145","9.4","( 9.2,  9.6)","9.7","( 9.5,  9.8)","37","(36.1, 37.8)","38.9","(38.5, 39.4)","(34.73311030370, -77.3951822819)",0400000US37,"37",North Carolina,Winston-Salem
NC,Raleigh,"3755000","403,892","9.4","( 9.3,  9.5)","9.2","( 9.2,  9.3)","33.1","(32.9, 33.3)","32.7","(32.5, 32.8)","(35.83220809330, -78.6440243809)",0400000US37,"37",North Carolina,Winston-Salem
