StateDesc,CityName,Sleep_Data_Value_2016,Asthma_Data_Value_2017,Avg_Median_AQI
Alabama,Birmingham,40.9,12.0,38.3
Alabama,Hoover,33.3,9.2,38.3
Alabama,Huntsville,38.2,10.9,38.3
Alabama,Mobile,40,11.8,38.3
Alabama,Montgomery,38.6,11.6,38.3
Alabama,Tuscaloosa,39.7,11.4,38.3
