Characteristic,
Men,35.5
Women,34.8
18-24,32.52
25-34,37.9
35-44,38.3
45-54,39
55-64,35.6
65+,26.3
White,33.4
Hispanic,34.5
Black,45.8
Asian,37.5
American Indian/Alaska Native,40.4
Native Hawaiian/Pacific Islander,46.3
Other/Multiracial,44.3
9th grade,59.7
10th grade,67.4
11th grade,73.3
12th grade,76.6
